amount,date
5,2011-11-14T00:00:00
40,2011-11-14T00:00:00
160,2011-11-14T00:00:00
32,2011-11-15T00:00:00
5,2011-11-15T00:00:00
7,2011-11-16T00:00:00
5,2011-11-16T00:00:00
10,2011-11-17T00:00:00
9,2011-11-17T00:00:00
3,2011-11-17T00:00:00
5,2011-11-17T00:00:00
5,2011-11-20T00:00:00
20,2011-11-20T00:00:00
10,2011-11-20T00:00:00
3,2011-11-22T00:00:00
3,2011-11-22T00:00:00
26,2011-11-22T00:00:00
5,2011-11-23T00:00:00
30,2011-11-23T00:00:00
6,2011-11-25T00:00:00
3,2011-11-25T00:00:00
2,2011-11-27T00:00:00
7,2011-11-27T00:00:00
35,2011-11-27T00:00:00
5,2011-11-27T00:00:00
11,2011-11-27T00:00:00
10,2011-11-27T00:00:00
22,2011-11-27T00:00:00
30,2011-11-27T00:00:00
3,2011-11-28T00:00:00
6,2011-11-29T00:00:00
6,2011-11-30T00:00:00
8,2011-12-02T00:00:00
30,2011-12-04T00:00:00
11,2011-12-04T00:00:00
2,2011-12-04T00:00:00
4,2011-12-05T00:00:00
5,2011-12-05T00:00:00
3,2011-12-05T00:00:00
140,2011-12-05T00:00:00
25,2011-12-06T00:00:00
7,2011-12-06T00:00:00
370,2011-12-06T00:00:00
63,2011-12-08T00:00:00
83,2011-12-12T00:00:00
12,2011-12-12T00:00:00
4,2011-12-12T00:00:00
50,2011-12-14T00:00:00
26,2011-12-17T00:00:00
62,2011-12-18T00:00:00
3,2011-12-19T00:00:00
23,2011-12-19T00:00:00
20,2011-12-20T00:00:00
30,2011-12-21T00:00:00
10,2011-12-21T00:00:00
26,2011-12-24T00:00:00
20,2011-12-28T00:00:00
30,2011-12-29T00:00:00
40,2011-12-29T00:00:00
40,2011-12-30T00:00:00
50,2011-12-31T00:00:00
37,2012-01-02T00:00:00
70,2012-01-02T00:00:00
40,2012-01-02T00:00:00
10,2012-01-02T00:00:00
30,2012-01-02T00:00:00
70,2012-01-06T00:00:00
10,2012-01-06T00:00:00
370,2012-01-06T00:00:00
50,2012-01-09T00:00:00
115,2012-01-09T00:00:00
15,2012-01-09T00:00:00
19,2012-01-10T00:00:00
20,2012-01-12T00:00:00
17,2012-01-13T00:00:00
57,2012-01-14T00:00:00
48,2012-01-14T00:00:00
50,2012-01-14T00:00:00
14,2012-01-15T00:00:00
20,2012-01-15T00:00:00
30,2012-01-15T00:00:00
40,2012-01-15T00:00:00
50,2012-01-18T00:00:00
5,2012-01-18T00:00:00
45,2012-01-20T00:00:00
27,2012-01-23T00:00:00
40,2012-01-23T00:00:00
32,2012-01-24T00:00:00
10,2012-01-25T00:00:00
10,2012-01-27T00:00:00
25,2012-01-28T00:00:00
25,2012-01-29T00:00:00
13,2012-01-29T00:00:00
77,2012-01-29T00:00:00
370,2012-02-01T00:00:00
0,2012-02-01T22:27:48.633911
20,2012-02-02T13:27:24.828871
20,2012-02-02T21:35:41.482386
20,2012-02-04T12:13:37.426859
20,2012-02-04T21:42:11.164113
200,2012-02-05T18:48:24.171116
50,2012-02-06T19:11:07.339103
18,2012-02-07T20:11:59.232420
